customer_code,customer,market,platform,channel
70002017,Maple Sports Supply,Canada,Brick & Mortar,Retailer
70002018,True North Athletics,Canada,Brick & Mortar,Retailer
90002001,SportsHub Canada,Canada,E-Commerce,Retailer
90002002,PowerPlay Sports Canada,Canada,Brick & Mortar,Retailer
90002003,Winning Gear Canada,Canada,Brick & Mortar,Retailer
90002004,Atlikon Sports Canada,Canada,Brick & Mortar,Direct
90002005,Atlikon Official Canada,Canada,E-Commerce,Direct
90002006,Atlikon Essentials Canada,Canada,Brick & Mortar,Direct
90002007,SportsMart Canada,Canada,Brick & Mortar,Retailer
90002008,FitnessWorld Canada,Canada,E-Commerce,Retailer
90002009,FastTrack Sports Canada,Canada,Brick & Mortar,Retailer
90002010,Athletic Supplies Canada,Canada,E-Commerce,Retailer
90002011,Prime Sports Canada,Canada,Brick & Mortar,Retailer
90002012,Ultimate Sports Canada,Canada,E-Commerce,Retailer
90002013,Active Gear Canada,Canada,E-Commerce,Retailer
90002014,Atlikon Canadian Superstore,Canada,Brick & Mortar,Direct
90002015,Active Sport Shop Canada,Canada,Brick & Mortar,Retailer
90002016,Fitness Mania Canada,Canada,Brick & Mortar,Retailer
