product_code,price_cad,year
ARCHDDE20D,45,2024
ARCH158F41,95,2024
ARCHAFF0E4,75,2024
ARCH6B94F7,65,2024
ARCH5D1FE7,25,2024
ARCH7B49A9,25,2024
ARCH497D34,20,2024
ARCHE71D79,95,2024
ARCHDD8749,65,2024
BADMC045D4,75,2024
BADM88C384,15,2024
BADMA5EBA3,100,2024
BADM4BAB38,105,2024
BADMDC6AB1,30,2024
BADM50C510,25,2024
BADM2459FB,30,2024
BADM9DDCED,40,2024
BADMD11DA6,60,2024
BADMDA1B05,50,2024
BADM376040,35,2024
BADM03A202,65,2024
BADME151E6,25,2024
BADMDA5EC8,45,2024
BADM48A260,35,2024
BADM8FFE12,50,2024
BADM1B8332,80,2024
BADM7E90FB,30,2024
BASK7F5383,60,2024
BASKEE612D,70,2024
BASK4C69DF,15,2024
BASK9E4294,70,2024
BASKEE32E4,25,2024
BASKE57A19,15,2024
BASK728A58,135,2024
BASKED86BF,105,2024
BASK32528E,115,2024
BASK984F74,40,2024
BOX8606F7,15,2024
BOXD26891,70,2024
BOX17AD9F,45,2024
BOXB9DCC6,20,2024
BOX3DC0E4,60,2024
BOX381514,10,2024
BOX386644,90,2024
BOX3A9CA9,30,2024
BOXB0228B,60,2024
CAMP24F868,75,2024
CAMPA3B110,75,2024
CAMPEE1159,75,2024
CAMP7A5E65,30,2024
CAMP69AF0F,140,2024
CAMP10C410,100,2024
CAMPECAADE,175,2024
CAMPF24336,190,2024
CAMPE624C8,80,2024
CAMP11E3FA,120,2024
CAMPCB6B05,20,2024
CAMPDFA679,35,2024
CAMP4005E6,15,2024
CAMPD5615D,70,2024
HOCKA1EEE0,60,2024
HOCK7723F0,45,2024
HOCK97BE68,120,2024
HOCK2716B4,65,2024
HOCK6888B0,55,2024
HOCKE4E9A2,75,2024
HOCK670481,25,2024
HOCKCCD675,150,2024
HOCK05FECB,20,2024
HOCK681856,160,2024
HOCKBBFD56,90,2024
HOCK57FB52,35,2024
HOCK294CD6,10,2024
HOCK892BAA,105,2024
HOCK2AE4DF,105,2024
HOCKC0D928,85,2024
HOCK341BC8,115,2024
HOCKB9EBFF,30,2024
HOCK5B2A0F,60,2024
HOCK2D3CF5,30,2024
HOCKC6CF02,115,2024
HOCKA7893F,135,2024
HOCKA5001D,55,2024
HOCK94FE34,15,2024
HOCK1FC74E,60,2024
HOCK905F1B,70,2024
HOCK35B3C7,140,2024
HOCK462BA5,90,2024
HOCKBDB8DA,115,2024
HOCK1BA87E,80,2024
HOCK7633A6,25,2024
HOCK8B52CE,80,2024
HOCK538334,120,2024
HOCK385D92,75,2024
HOCKF950D4,85,2024
HOCK16E55F,85,2024
HOCK02DA3C,75,2024
HOCK98DB22,90,2024
HOCKCE879E,20,2024
HOCK372046,25,2024
HOCKF6D4C2,25,2024
HOCK7270D1,85,2024
HOCK64B186,55,2024
HOCK2841E6,115,2024
HOCK2101AF,105,2024
HOCKDB62E7,35,2024
HOCKA7A3B4,85,2024
HOCKD69383,100,2024
HOCK97883A,45,2024
HOCK55A6B5,20,2024
HOCK7A3D0A,60,2024
HOCK76C189,30,2024
HOCK8DF8D8,150,2024
HOCK19DC2D,105,2024
HOCKAEA857,95,2024
HOCK55BF8F,100,2024
HOCKA76614,105,2024
HOCK2D7B61,40,2024
HOCKC6150F,110,2024
CYCLDE0772,65,2024
CYCLBD7368,95,2024
CYCL9F921D,105,2024
CYCL8D32DD,50,2024
CYCL903AF1,25,2024
CYCLB9F510,35,2024
CYCL3A3BA9,70,2024
CYCL28EDD2,95,2024
CYCL8D92F6,125,2024
CYCLA4B3CA,10,2024
FISHE20FE7,55,2024
FISH435E84,45,2024
FISHF83738,25,2024
FISH731A02,20,2024
FISH8CF49F,40,2024
FISH6AC780,105,2024
FISHC4F1E3,35,2024
FISH9C6E1A,55,2024
FISH9DCA51,70,2024
FISHA6E17F,40,2024
SOCCDA10C6,105,2024
SOCC8B25BD,90,2024
SOCCBCD3A9,35,2024
SOCCC865F3,60,2024
SOCC9DB3E4,40,2024
SOCCB533BF,50,2024
SOCC80D996,15,2024
SOCC0CD3DE,75,2024
SOCC528FB5,75,2024
SOCC86D9A9,15,2024
SOCC0E544D,35,2024
SOCCF63A17,130,2024
SOCC93E2C6,45,2024
SOCC2BAAAD,25,2024
