product_code,division,category,product,variant
ARCHDDE20D,Archery,Arrows,PX Carbon Arrow Set,12 Pack
ARCH158F41,Archery,Finger Tab,LX Leather Finger Tab,Universal
ARCHAFF0E4,Archery,Bow,AX Precision Recurve Bow,26 lbs
ARCH6B94F7,Archery,Bow,AX Precision Recurve Bow,30 lbs
ARCH5D1FE7,Archery,Bow Stringer,BX Bow Stringing Tool,Standard
ARCH7B49A9,Archery,Arm Guard,NX Archery Arm Guard,Medium
ARCH497D34,Archery,Target,TX Foam Archery Target,80 cm
ARCHE71D79,Archery,Arm Guard,NX Archery Arm Guard,Large
ARCHDD8749,Archery,Target,TX Foam Archery Target,60 cm
BADMC045D4,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Head Heavy
BADM88C384,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Intermediate
BADMA5EBA3,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Even Balance
BADM4BAB38,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Advanced
BADMDC6AB1,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Even Balance
BADM50C510,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Head Heavy
BADM2459FB,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Flexible Shaft
BADM9DDCED,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Head Light
BADMD11DA6,Badminton,Badminton Racket,BX AeroLite Badminton Racket,4U Weight
BADMDA1B05,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Stiff Shaft
BADM376040,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Flexible Shaft
BADM03A202,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Head Light
BADME151E6,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,4U Weight
BADMDA5EC8,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Advanced
BADM48A260,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Beginner
BADM8FFE12,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Stiff Shaft
BADM1B8332,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,3U Weight
BADM7E90FB,Badminton,Badminton Racket,BX AeroLite Badminton Racket,3U Weight
BASK7F5383,Basketball,Basketball Jersey,AX DryFit Basketball Jersey,L
BASKEE612D,Basketball,Basketball,BX Grip Indoor Basketball,Size 7
BASK4C69DF,Basketball,Basketball Jersey,AX DryFit Basketball Jersey,M
BASK9E4294,Basketball,Basketball,BX Grip Indoor Basketball,Size 5
BASKEE32E4,Basketball,Basketball,BX Grip Indoor Basketball,Size 6
BASKE57A19,Basketball,Basketball Hoop,HX Portable Basketball Hoop,Standard Height
BASK728A58,Basketball,Basketball Shoes,RX Jump Basketball Shoes,US 8
BASKED86BF,Basketball,Basketball Hoop,HX Portable Basketball Hoop,Adjustable Height
BASK32528E,Basketball,Basketball Shoes,RX Jump Basketball Shoes,US 10
BASK984F74,Basketball,Basketball Accessories,NX Court Basketball Pump,With Needle
BOX8606F7,Boxing,Headgear,RX Sparring Headgear,L
BOXD26891,Boxing,Headgear,RX Sparring Headgear,M
BOX17AD9F,Boxing,Skipping Rope,TX Speed Skipping Rope,Adjustable
BOXB9DCC6,Boxing,Boxing Gloves,BX Pro Boxing Gloves,10 oz
BOX3DC0E4,Boxing,Boxing Gloves,BX Pro Boxing Gloves,12 oz
BOX381514,Boxing,Punching Bag,PX Heavy Punching Bag,30 kg
BOX386644,Boxing,Hand Wraps,AX Elastic Hand Wrap,3 m
BOX3A9CA9,Boxing,Punching Bag,PX Heavy Punching Bag,25 kg
BOXB0228B,Boxing,Mouth Guard,NX ShockGuard Mouthpiece,Junior
CAMP24F868,Camping,Tent,CX QuickPitch Tent,4 Person
CAMPA3B110,Camping,Lantern,LX BrightGlow LED Lantern,Rechargeable
CAMPEE1159,Camping,Lantern,LX BrightGlow LED Lantern,Battery
CAMP7A5E65,Camping,Camping Stove,PX MiniGas Stove,Single Burner
CAMP69AF0F,Camping,Folding Chair,MX Relax Folding Chair,XL
CAMP10C410,Camping,Ice Box,FX ChillBox Cooler,20L
CAMPECAADE,Camping,Sleeping Bag,HX WarmComfort Sleeping Bag,-5°C
CAMPF24336,Camping,Tent,CX QuickPitch Tent,2 Person
CAMPE624C8,Camping,Camping Mat,TX RollLite Sleeping Mat,15 mm
CAMP11E3FA,Camping,Folding Chair,MX Relax Folding Chair,Standard
CAMPCB6B05,Camping,Ice Box,FX ChillBox Cooler,40L
CAMPDFA679,Camping,Camping Stove,PX MiniGas Stove,Double Burner
CAMP4005E6,Camping,Camping Tools,NX MultiTool Knife Set,11-in-1
CAMPD5615D,Camping,Sleeping Bag,HX WarmComfort Sleeping Bag,0°C
HOCKA1EEE0,Hockey,Hockey Shin Guards,NX Pro Hockey Shin Guards,Senior
