date,product_code,customer_code,sold_quantity
2025-12-01,ARCHAFF0E4,70002018,930
2025-12-01,ARCH6B94F7,70002018,878
2025-12-01,ARCH5D1FE7,70002018,1089
2025-12-01,ARCH7B49A9,70002018,1385
2025-12-01,ARCH497D34,70002018,1063
2025-12-01,ARCHE71D79,70002018,704
2025-12-01,ARCHDD8749,70002018,1708
2025-12-01,BADMC045D4,70002018,1345
2025-12-01,BADM4BAB38,70002018,347
2025-12-01,BADMDC6AB1,70002018,319
2025-12-01,BADM50C510,70002018,2041
2025-12-01,BADM2459FB,70002018,628
2025-12-01,BADME151E6,70002018,533
2025-12-01,BADMDA5EC8,70002018,371
2025-12-01,BADM48A260,70002018,1242
2025-12-01,BADM8FFE12,70002018,2151
2025-12-01,BADM1B8332,70002018,1380
2025-12-01,BADM7E90FB,70002018,890
2025-12-01,BASK7F5383,70002018,1898
2025-12-01,BASKEE612D,70002018,2346
2025-12-01,BASK4C69DF,70002018,2131
2025-12-01,BASK9E4294,70002018,428
2025-12-01,BASKEE32E4,70002018,1228
2025-12-01,BASKE57A19,70002018,1275
2025-12-01,BASK728A58,70002018,814
2025-12-01,BASKED86BF,70002018,2065
2025-12-01,BASK32528E,70002018,1884
2025-12-01,BASK984F74,70002018,609
2025-12-01,BOX8606F7,70002018,1170
2025-12-01,BOXD26891,70002018,1066
2025-12-01,BOX17AD9F,70002018,1794
2025-12-01,BOXB9DCC6,70002018,1013
2025-12-01,BOX3DC0E4,70002018,1132
2025-12-01,BOX381514,70002018,300
2025-12-01,BOX386644,70002018,324
2025-12-01,BOX3A9CA9,70002018,2331
2025-12-01,BOXB0228B,70002018,1603
2025-12-01,CAMP7A5E65,70002018,1909
2025-12-01,CAMP69AF0F,70002018,990
2025-12-01,CAMP10C410,70002018,1932
2025-12-01,CAMPECAADE,70002018,2185
2025-12-01,CAMPF24336,70002018,1383
2025-12-01,CAMPE624C8,70002018,1046
2025-12-01,CAMP11E3FA,70002018,966
2025-12-01,CAMPCB6B05,70002018,1111
2025-12-01,CAMPDFA679,70002018,638
2025-12-01,CAMP4005E6,70002018,2054
2025-12-01,CAMPD5615D,70002018,779
2025-12-01,HOCKA1EEE0,70002018,1524
2025-12-01,HOCK7723F0,70002018,1393
2025-12-01,HOCK97BE68,70002018,2228
2025-12-01,HOCK2716B4,70002018,1557
2025-12-01,HOCK05FECB,70002018,952
2025-12-01,HOCK681856,70002018,1278
2025-12-01,HOCKBBFD56,70002018,811
2025-12-01,HOCK57FB52,70002018,1430
2025-12-01,HOCK294CD6,70002018,1826
2025-12-01,HOCK892BAA,70002018,1574
2025-12-01,HOCK2AE4DF,70002018,648
2025-12-01,HOCKC0D928,70002018,1030
2025-12-01,HOCK341BC8,70002018,1811
2025-12-01,HOCKB9EBFF,70002018,274
2025-12-01,HOCK5B2A0F,70002018,1593
2025-12-01,HOCK2D3CF5,70002018,1671
2025-12-01,HOCKC6CF02,70002018,1245
