customer_id,customer_name,city
789201,FitFuel Market,Toronto
789202,FitFuel Market,Vancouver
789203,FitFuel Market,Calgary
789301,Athlete's Choice Store,Toronto
789303,Athlete's Choice Store,Calgary
789101,Endurance Foods,Toronto
789102,Endurance Foods,Vancouver
789103,Endurance Foods,Calgary
789121, HydroBoost Nutrition ,Vancouver
789122,HydroBoost Nutrition,Calgary
789220,MacroBite Superfoods,Toronto
789221,MacroBite superfoods,Vancouver
789320,PowerSnack Hub,Toronto
789321,PowerSnack hub,Vancouver
789401, SprintX nutrition ,Toronto
789402,SprintX Nutrition,Vancouver
789403,SprintX Nutrition,Ottawa
789420, ZenAthlete foods ,Ottawa
789421, ZenAthlete Foods ,Vancouver
789422,ZenAthlete Foods,Calgary
789501,Peak performance Store,Toronto
789503,Peak Performance store,Calgary
789520,PrimeFuel Nutrition,Toronto
789521, PrimeFuel Nutrition ,Ottawa
789522,PrimeFuel Nutrition,Calgary
789601,Recovery Lane,Toronto
789603,Recovery Lane,Ottawa
789702, StaminaX Store ,Vancouver
789703,StaminaX Store,Calgary
789621,EliteAthlete Nutrition,Vancouver
789622,EliteAthlete Nutrition,Calgary
789720,GamePlan Foods,Toronto
789721,GamePlan Foods,Vancouver
789902,Champion's choice,Vancouver
789903,champion's Choice,Calgary
789603,Recovery Lane,Ottawa
789321,PowerSnack hub,Vancouver
789522,PrimeFuel Nutrition,Calgary
789503,Peak Performance store,Calgary
