product_id,month,gross_price
25891101,2025/07/01,-1.34
25891101,01/08/2025,unknown
25891101,2025/09/01,1.34
25891101,2025-10-01,1.33
25891101,2025-11-01,1.33
88888888,2025-12-01,-1.33
25891102,2025-07-01,1.09
25891102,2025-08-01,1.09
25891102,2025-09-01,1.09
25891102,2025-10-01,1.10
25891102,2025-11-01,1.10
25891102,2025-12-01,1.10
25891103,2025/07/01,1.36
25891103,01/08/2025,1.36
25891103,2025/09/01,1.36
25891103,2025-10-01,not_available
25891103,2025/11/01,1.38
25891103,2025-12-01,1.38
25891201,2025-07-01,1.73
25891201,2025/08/01,1.73
25891201,2025-09-01,1.73
99999999,2025-10-01,1.73
25891201,2025-11-01,1.73
25891201,2025-12-01,1.73
25891202,2025-07-01,1.50
25891202,2025/08/01,1.50
25891202,01-09-2025,1.50
25891202,2025/10/01,1.60
25891202,2025-11-01,unknown
88888888,2025-12-01,1.60
25891203,2025/07/01,2.11
25891203,2025-08-01,2.11
99999999,2025-09-01,2.11
25891203,2025-10-01,2.21
88888888,2025-11-01,2.21
25891203,01/12/2025,2.21
25891301,2025-07-01,7.30
25891301,2025-08-01,7.30
25891301,01-09-2025,7.30
25891301,2025-10-01,7.89
25891301,2025-11-01,7.89
25891301,2025-12-01,-7.89
25891302,2025-07-01,4.40
25891302,01/08/2025,unknown
25891302,2025-09-01,-4.40
88888888,2025/10/01,4.80
25891302,2025-11-01,-4.80
25891302,2025-12-01,4.80
25891303,2025/07/01,5.90
25891303,01/08/2025,5.90
25891303,2025-09-01,5.90
25891303,2025-10-01,6.91
25891303,2025-11-01,6.91
25891303,2025-12-01,6.91
25891401,2025-07-01,1.18
99999999,2025/08/01,1.18
25891401,2025-09-01,1.18
25891401,2025-10-01,1.26
25891401,2025/11/01,1.26
25891401,2025-12-01,1.26
25891402,2025-07-01,0.75
25891402,2025-08-01,0.75
25891402,2025-09-01,0.75
25891402,2025-10-01,0.85
25891402,2025-11-01,0.85
25891402,2025-12-01,not_available
77777777,2025-07-01,0.78
25891403,2025-08-01,0.78
25891403,2025-09-01,-0.78
25891403,2025-10-01,0.80
25891403,2025-11-01,0.80
25891403,2025-12-01,0.80
25891501,2025/07/01,5.14
25891501,2025-08-01,5.14
25891501,01/09/2025,5.14
25891501,2025-10-01,-5.84
25891501,2025-11-01,5.84
25891501,2025-12-01,5.84
25891502,2025-07-01,3.25
25891502,2025-08-01,3.25
99999999,2025-09-01,3.25
25891502,2025/10/01,3.79
25891502,2025-11-01,3.79
25891502,01-12-2025,3.79
88888888,2025-07-01,4.67
25891503,01-08-2025,4.67
25891503,01/09/2025,4.67
25891503,2025-10-01,unknown
25891503,2025-11-01,4.50
25891503,01/12/2025,4.50
25891601,2025-07-01,-7.10
25891601,2025-08-01,7.10
25891601,2025-09-01,7.10
25891601,01/10/2025,7.04
25891601,2025-11-01,7.04
88888888,2025-12-01,-7.04
25891602,2025-07-01,-4.62
25891602,2025-08-01,4.62
25891602,2025-09-01,-4.62
88888888,2025-10-01,4.74
25891602,2025-11-01,4.74
25891602,2025-12-01,4.74
25891603,2025-07-01,2.74
25891603,2025-08-01,2.74
25891603,2025-09-01,2.74
25891603,2025-10-01,2.99
88888888,2025-11-01,2.99
25891603,01/12/2025,2.99
