product_name,product_id,category
SportsBar Energy Bar Choco Fudge (60g),25891101,energy bars
SportsBar Energy Bar Choco Fudge (40g),25891102,energy bars
SportsBar Energy Bar Choco Fudge (25g),25891103,energy bars
SportsBar Protien Bar Peanut Crunch (45g),25891201,protien bars
SportsBar Protien Bar Peanut Crunch (55g),25891202,protien bars
SportsBar Protien Bar Peanut Crunch (65g),25891203,protien bars
SportsBar Granola Crunch Honey Almond (400g),25891301,granola & cereals
SportsBar Granola Crunch Honey Almond (300g),25891302,granola & cereals
SportsBar Granola Crunch Honey Almond (200g),25891303,granola & cereals
SportsBar Greek Yogurt Pro Vanilla (200g),25891401,recovery dairy
SportsBar Greek Yogurt Pro Vanilla (120g),25891402,recovery dairy
SportsBar Greek Yogurt Pro Vanilla (80g),25891403,recovery dairy
SportsBar Oats Cookie Bites ChocoChip (500g),25891501,healthy snacks
SportsBar Oats Cookie Bites ChocoChip (350g),XYZ123,healthy snacks
SportsBar Oats Cookie Bites ChocoChip (180g),25891503,healthy snacks
SportsBar Electrolyte Mix Lemon-Lime (30 Sachets),25891601,electrolyte mix
SportsBar Electrolyte Mix Lemon-Lime (15 Sachets),25891602,electrolyte mix
SportsBar Electrolyte Mix Lemon-Lime (5 Sachets),25891603,electrolyte mix
SportsBar Energy Bar Choco Fudge (60g),25891101,energy bars
SportsBar Energy Bar Choco Fudge (40g),25891102,energy bars
